"id";"first_name";"middle_name";"last_name";"birthdate";"gender";"email";"mobile_number";"street_address";"city";"state";"zip_code";"student_id";"course";"year_level";"password";"created_at"
1;"Quyn";"Carolyn Holman";"Booker";"1988-11-28";"other";"nomynymux@example.com";"09997555252";"Sit Optio Sit Sed D";"Expedita Perferendis";"Et In Et Labore Nesc";"2085";"56468043";"bshrm";2;"$2b$10$.2xmkF0F9YqFAO4DQ2OTmOS/m0b0P2dwOzww65W.jCHgDOibFdsCm";"2025-04-01 07:58:32"
2;"Kalia";"Marny Foreman";"Hull";"1989-11-16";"other";"kalia@example.com";"09715931501";"Esse Hic Accusantiu";"Qui Eveniet Eius Vo";"Facilis Debitis Comm";"6471";"54071372";"bshrm";3;"$2b$10$YMFJl0a5AS6tXJFvebWuZeLzupxdcwZn8oxi3zZmdNeh.sqed5IoG";"2025-04-01 08:00:08"
3;"Clark";"Blaine Larson";"Allison";"1977-12-17";"female";"clark@example.com";"09259905327";"Sapiente Sequi Rerum";"Maiores Dignissimos ";"Vero Vel Aut Vel Com";"8048";"73308366";"bsat";4;"$2b$10$uaCsJjcFJma62Pnwphluze0JFIpOHdf7NMfBZUL/9mRc4xuzvmIQ6";"2025-04-01 08:16:36"
4;"Wilma";"Katelyn Holt";"Merrill";"2024-01-13";"male";"batemog@example.com";"09594728890";"Dolorem Repellendus";"Nemo Eum Nulla Iure ";"Nulla Modi Duis Est ";"8318";"28873513";"bsba";4;"$2b$10$qtPvRXqVw/iKOxqPxf7ZQO/KXgoh6LQ7Vs2yASwlXMU7/vRIC09yC";"2025-04-01 09:15:13"
5;"Gwendolyn";"Latifah Vincent";"Bernard";"2000-01-19";"male";"mytusaru@example.com";"09184944882";"Sit Accusantium Vol";"Qui Eiusmod Reiciend";"Eveniet Itaque Dele";"8921";"10458842";"bsa";1;"$2b$10$/8GAdQ8LNudNM7vt0hsd..KXP0.UQT/NSgEoQkihBSVXPtRdOXH5K";"2025-04-01 09:15:19"
6;"Elton";"Aline Carlson";"Ayala";"1991-02-07";"male";"elton@example.com";"09618991592";"Reprehenderit Conse";"Quia Voluptatem Non";"Eos Assumenda Dicta ";"7028";"93731500";"bsed";2;"$2b$10$c9gC3Bf2kkZU60fk2o2wZ.Zea8./KYzjR7cGYSBGZtywsxLYWIrzG";"2025-04-07 14:38:14"
7;"Mollie";"Arden Harding";"Weiss";"2014-02-27";"other";"mollie@example.com";"09920295608";"Aliquip Qui Quaerat ";"Ut Iste Laborum Volu";"Libero Enim Veritati";"1618";"39536587";"bshm";3;"$2b$10$ursMygYFvISEgo0cqb.fluq9fGBRx9NZ0RZe2dDfihhDpXXM5J/HC";"2025-04-08 02:32:55"
8;"Harlan";"Penelope Fisher";"Cooke";"2004-08-21";"other";"saqavapype@example.com";"09426054580";"Nihil Nemo Qui Sed E";"In Consequatur Aliq";"Velit Cupiditate Rep";"3390";"78636115";"bsis";3;"$2b$10$ZQ49MQY.OZJ0sYQeOOVzpeQXxK7YCyuaFBD1V3TttSlHw7gklGKey";"2025-04-08 03:58:00"
9;"Nero";"Lael Johnson";"Castillo";"1981-06-21";"other";"givyrir@example.com";"09480592157";"Ipsum Nulla Autem E";"Voluptas Sunt Nesciu";"Eum Qui Est Sequi In";"6697";"24822735";"bped";3;"$2b$10$lPcvDlyUfK8JV7sm9dq6d..e/xa7eAIzKxoHiS4ZNxli04rbuc7jq";"2025-04-08 03:58:04"
10;"Rose";"Irene Reed";"Shelton";"1991-05-20";"female";"dywaj@example.com";"09760020452";"Ullam Assumenda Vel ";"Illo Atque Incididun";"Amet Ut Aut Elit V";"8239";"45093508";"bsat";4;"$2b$10$lsbjhXq5lmSaIevjrYOqPue/NvDRNWDfaWUqQx3a6rdgISuSbUCrK";"2025-04-08 03:58:09"
